#,Name,PER,PPG,AST,TRB,BlK,STL,TOV,FG%,FT%,WS,CW,GP
1,MichaelJordan,27.91,30.1,5.3,6.2,0.8,2.35,2.7,49.7,83.5,214,6,1072
2,LeBronJames,27.51,27.1,7.4,7.4,0.8,1.6,3.5,50.4,73.5,236.1,3,1258
3,KareemAbdul-Jabbar,24.58,24.6,3.6,11.2,2.6,0.9,2.7,55.9,72.1,273.41,6,1560
4,WiltChamberlain,31.74,30.1,4.4,22.9,8.8,3.16,2.7,55.9,72.1,247.3,2,1045
5,MagicJohnson,24.11,19.5,11.2,7.2,0.4,1.9,3.9,52,84.8,155.79,5,906
6,LarryBird,23.5,24.3,6.3,10,0.8,1.7,3.1,49.6,88.6,145.8,3,897
7,KobeBryant,22.9,25,4.7,5.2,0.5,1.4,3,44.7,83.7,172.7,5,1346
8,ElginBaylor,22.7,27.4,4.3,13.5,1.2,2.1,2.8,43.1,78,104.2,0,846
9,KarlMalone,23.9,25,3.6,10.1,0.8,1.4,3.1,51.6,74.2,234.6,0,1476
10,CharlesBarkley,24.6,22.1,3.9,11.7,0.8,1.5,3.1,54.1,73.5,177.2,0,1073
11,BobPettit,25.3,26.4,3,16.2,0,0,0,43.6,76.1,136,1,792
12,ShaquilleONeal,26.4,23.7,2.5,10.9,2.3,0.6,2.7,58.2,52.7,181.7,4,1207
13,TimDuncan,24.2,19,3,10.8,2.2,0.7,2.4,54.9,66.2,206.4,5,1392
14,HakeemOlajuwon,23.6,21.8,2.5,11.1,3.1,1.7,3,51.2,71.2,162.8,2,1238
15,ChrisPaul,25.1,18.5,9.5,4.5,0.1,2.2,2.4,47,87,174.5,0,1013
16,DavidRobinson,26.2,21.1,2.5,10.6,3.0,1.4,2.4,51.8,73.6,178.7,2,987
17,KevinDurant,25.2,27,4.1,7.1,1.1,1.1,3.1,44.3,88.3,141.7,2,849
18,JerryWest,22.9,27,6.7,5.8,0.7,2.6,0,47.4,81.4,162.6,1,932
19,OscarRobertson,23.2,25.7,9.5,7.5,0.1,1.1,0,48.5,83.8,189.2,1,1040
20,JuliusErving,23.6,24.2,4.2,8.5,1.7,2.0,3.4,50.6,77.7,181.1,1,1243










